procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 3125452  72932 731328    0    0     1     4   13   20  0  0 100  0  0
 0  0      0 3124844  72932 731400    0    0     0     0  360  396  1  0 99  0  0
 0  0      0 3125060  72932 731400    0    0     0     0   93  110  0  0 100  0  0
 0  0      0 3125000  72932 731400    0    0     0     0   77   99  0  0 99  0  0
 0  0      0 3125172  72932 731400    0    0     0     0   80   91  0  0 100  0  0
 0  0      0 3124924  72932 731404    0    0     0    32   92   94  0  0 99  0  0
 0  0      0 3125072  72940 731404    0    0     0    56  100  120  0  0 98  1  0
 0  0      0 3125320  72940 731408    0    0     0     0   74   92  0  1 99  0  0
 0  0      0 3125172  72940 731412    0    0     0     0   81   99  0  0 99  0  0
 0  0      0 3125444  72940 731416    0    0     0     0   86   95  0  0 99  0  0
 0  1      0 3125420  72948 731416    0    0     0    20  100  119  0  0 99  0  0
 0  0      0 3125252  72948 731428    0    0     0    44   78   94  0  0 99  0  0
 0  0      0 3125128  72948 731432    0    0     0     0   86  101  0  0 100  0  0
 0  0      0 3124980  72948 731436    0    0     0     0   86   94  0  0 100  0  0
 0  0      0 3124980  72948 731444    0    0     0     0   82  101  0  0 99  0  0
 0  1      0 3124732  72956 731444    0    0     0    32   85  102  0  0 100  0  0
 0  0      0 3125080  72956 731456    0    0     0    16   94  107  0  0 95  5  0
 0  0      0 3124956  72956 731460    0    0     0     0   83   95  0  0 100  0  0
 0  0      0 3125136  72956 731464    0    0     0     0  312  429  1  1 99  0  0
 1  0      0 3115372  72956 731468    0    0     0     0  169  158  3  3 94  0  0
 0  1      0 3124712  72960 731496    0    0     0    52  115  127  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3124836  72960 731500    0    0     0     0   96  103  0  0 97  2  0
 0  0      0 3124488  72960 731500    0    0     0    28   85  115  1  0 99  0  0
 0  0      0 3124612  72960 731500    0    0     0     0   82   94  0  0 100  0  0
 0  0      0 3124736  72960 731500    0    0     0     0   79   95  0  0 100  0  0
 0  1      0 3124604  72964 731500    0    0     0    40   85  100  1  0 99  0  0
 0  0      0 3124340  72964 731504    0    0     0     0  161  203  0  0 96  3  0
 0  0      0 3124264  72964 731440    0    0     0    24  123  129  1  0 99  0  0
 0  0      0 3124248  72964 731440    0    0     0     0  118  131  1  0 99  0  0
 0  0      0 3124356  72964 731444    0    0     0     0  107  120  0  1 99  0  0
 0  1      0 3124372  72972 731440    0    0     0    36   99  132  0  0 99  0  0
 0  0      0 3123968  72972 731400    0    0     0     0  116  136  0  1 98  1  0
 0  0      0 3124280  72972 731408    0    0     0    12  118  137  0  0 100  0  0
 0  0      0 3124264  72972 731408    0    0     0     0   80   93  0  0 100  0  0
 0  0      0 3124304  72972 731412    0    0     0     0   91  111  0  0 100  0  0
