procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 2866564  52408 1071168    0    0    29   149   47   72  1  1 97  2  0
 0  0      0 2866684  52408 1071228    0    0     0     0   54   59  0  0 100  0  0
 0  0      0 2866692  52408 1071228    0    0     0     0   17   23  0  0 100  0  0
 0  0      0 2866692  52408 1071228    0    0     0     0   22   31  0  0 100  0  0
 1  0      0 2812892  52408 1071244    0    0    88     0 2048 3166 14 16 70  0  0
 1  1      0 2812396  52412 1071556    0    0     0    96 2529 3639  5 32 62  1  0
 2  0      0 2812816  52412 1071388    0    0     0     0 2500 3531  6 31 62  1  0
 1  0      0 2812276  52412 1071468    0    0     0     0 2526 3557  7 30 63  0  0
 1  0      0 2811992  52412 1071384    0    0     0     0 2503 3622  6 31 63  0  1
 1  0      0 2812428  52412 1071628    0    0     0     0 2513 3587  5 32 63  0  0
 1  0      0 2812172  52420 1071440    0    0     0    16 2519 3616  6 31 62  1  0
 1  0      0 2812140  52420 1071600    0    0     0     0 2493 3573  6 31 63  0  0
 3  0      0 2812676  52420 1071616    0    0     0     0 2525 3616  6 31 63  0  0
 1  0      0 2812288  52420 1071844    0    0     0     0 2462 3556  5 32 63  0  0
 2  0      0 2811840  52420 1071748    0    0     0     0 2435 3606  6 31 63  0  1
 2  1      0 2812212  52428 1071772    0    0     0    32 2484 3591  5 32 62  1  0
 1  0      0 2811824  52428 1071796    0    0     0     0 2546 3655  5 32 63  0  0
 1  0      0 2812224  52428 1071784    0    0     0     0 2491 3673  6 32 62  0  0
 1  0      0 2812036  52428 1071728    0    0     0     0 2472 3543  6 32 62  0  0
 1  0      0 2811744  52428 1071900    0    0     0     0 2501 3512  5 32 63  0  0
 1  1      0 2811464  52432 1071944    0    0     0    16 2547 3594  6 31 62  1  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 2811912  52432 1071740    0    0     0     0 2522 3542  6 30 63  0  0
 3  0      0 2811628  52432 1071820    0    0     0     0 2501 3523  6 31 63  0  0
 1  0      0 2811764  52432 1071900    0    0     0     0 2534 3554  6 31 63  0  0
 1  0      0 2811204  52432 1071908    0    0     0     0 2499 3573  5 33 62  0  0
 1  1      0 2811436  52436 1072124    0    0     0    16 2528 3545  7 30 62  1  1
 1  0      0 2811704  52436 1072104    0    0     0     0 2515 3526  6 31 62  0  0
 3  0      0 2812160  52436 1072224    0    0     0     0 2503 3509  6 31 62  0  0
 1  0      0 2811736  52436 1072180    0    0     0     0 2488 3488  4 32 64  0  0
 1  0      0 2811696  52436 1072048    0    0     0     0 2497 3618  7 31 62  0  0
 1  1      0 2811576  52440 1072328    0    0     0    16 2468 3530  6 32 62  0  0
 1  0      0 2811608  52440 1072100    0    0     0     0 2458 3535  7 32 61  0  0
 1  0      0 2811808  52440 1072216    0    0     0     0 2546 3582  7 31 62  0  0
 1  0      0 2811620  52440 1072252    0    0     0     0 2470 3579  7 31 62  0  0
 3  0      0 2811232  52440 1072160    0    0     0     0 2475 3593  7 31 62  0  0
 1  1      0 2811368  52448 1072336    0    0     0   356 2472 3539  5 31 63  0  0
 1  0      0 2811456  52448 1072392    0    0     0     0 2531 3543  6 32 61  1  0
 1  0      0 2811492  52448 1072472    0    0     0     0 2529 3686  6 32 63  0  0
 1  0      0 2810956  52448 1072488    0    0     0     0 2467 3459  8 30 62  0  0
 1  0      0 2811808  52448 1072492    0    0     0     0 2483 3567  5 32 62  0  0
 1  1      0 2810748  52452 1072384    0    0     0   108 2491 3605  6 31 63  0  1
 2  0      0 2811152  52452 1072672    0    0     0     0 2539 3716  6 32 62  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
