procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 2853160  74908 810360    1   20     8    39    3   10  2  5 93  0  0
 3  0  20124 2842908  74912 810552    0    0     0  6580 8912 22404 43 40 14  4  0
 3  0  20124 2837432  74912 810596    0    0     0     0 10312 27280 25 42 33  0  0
 2  0  20124 2832100  74912 810596    0    0     0     0 10461 27616 27 40 34  0  0
 1  0  20124 2826724  74912 810516    0    0     0     0 10065 26871 24 42 33  0  0
 1  0  20124 2822012  74912 810516    0    0     0     0 11201 28833 23 42 35  0  0
 1  0  20124 2816524  74912 810516    0    0     0     0 11610 30171 26 41 34  0  0
 1  0  20124 2815960  74912 810532    0    0     0    64 10716 26416 25 41 34  0  0
 1  0  20124 2810504  74912 810532    0    0     0     0 10890 27007 24 42 34  0  0
 1  0  20124 2805172  74912 810532    0    0     0     0 11365 30217 25 42 33  0  0
 3  0  20124 2799964  74912 810532    0    0     0     0 11408 27777 27 39 34  0  0
 3  0  20124 2794624  74912 810540    0    0     0     0 12011 31078 26 40 34  0  0
 3  0  20124 2789168  74916 810540    0    0     0    32 12140 30340 26 40 34  1  0
 3  0  20124 2784084  74916 810540    0    0     0     0 11697 28630 25 41 34  0  0
 3  0  20124 2778628  74916 810540    0    0     0     0 11555 29430 25 42 33  0  0
 3  0  20124 2773172  74916 810540    0    0     0     0 10840 26495 27 40 33  0  0
 2  0  20124 2767840  74916 810540    0    0     0     0 11957 30706 24 42 34  0  0
 3  0  20124 2762508  74920 810536    0    0     0    24 11380 31570 26 41 32  1  0
 2  0  20124 2757176  74920 810540    0    0     0     0 11555 28212 26 40 34  0  0
 3  0  20124 2752216  74920 810540    0    0     0     0 10791 28734 26 37 38  0  0
 3  0  20124 2746884  74920 810540    0    0     0     0 11365 28741 25 41 34  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 2741552  74920 810540    0    0     0     0 11290 28144 25 41 34  0  0
 3  0  20124 2733120  74924 810536    0    0     0    24 12659 30555 26 39 34  1  0
 2  0  20124 2727292  74924 810540    0    0     0     0 11915 29943 28 36 36  0  0
 3  0  20124 2723944  74924 810540    0    0     0     0 10620 26726 26 40 33  0  0
 2  0  20124 2718488  74924 810540    0    0     0     0 10782 27891 26 40 34  0  0
 3  0  20124 2713404  74924 810540    0    0     0     0 10174 28076 26 37 37  0  0
 3  0  20124 2708072  74928 810540    0    0     0    24 11230 28641 26 40 33  1  0
 2  0  20124 2702864  74928 810544    0    0     0     0 10877 26587 26 40 34  0  0
 3  0  20124 2697532  74928 810544    0    0     0     0 11045 27902 28 39 33  0  0
 3  0  20124 2692324  74928 810544    0    0     0     0 11796 30048 25 41 34  0  0
 3  0  20124 2686992  74928 810544    0    0     0    32 10847 26596 24 42 34  0  0
 2  0  20124 2681784  74936 810536    0    0     0    56 11391 27885 26 40 33  1  0
 2  0  20124 2676484  74936 810544    0    0     0     0 11436 28313 24 42 35  0  0
 2  0  20124 2671276  74936 810544    0    0     0     0 11317 28365 25 42 33  0  0
 3  0  20124 2665944  74936 810544    0    0     0     0 12088 30907 27 39 34  0  0
 3  0  20124 2660736  74936 810544    0    0     0   104 10983 27746 23 43 34  0  0
 3  0  20124 2655528  74940 810540    0    0     0    48 11589 29103 26 40 31  3  0
 2  0  20124 2650476  74940 810512    0    0     0     0 10269 27229 24 39 37  0  0
 2  0  20124 2645268  74940 810512    0    0     0     0 10776 26442 25 41 34  0  0
 3  0  20124 2640060  74940 810512    0    0     0     0 11097 28106 26 40 34  0  0
 3  0  20124 2634852  74940 810512    0    0     0     0 10423 25478 27 40 33  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 2629644  74948 810504    0    0     0    24 11031 28767 25 41 33  0  0
 4  0  20124 2624436  74948 810512    0    0     0     0 11157 27154 25 41 33  0  0
 2  0  20124 2619476  74948 810516    0    0     0     0 11465 29053 23 42 34  0  0
 3  0  20124 2613896  74948 810516    0    0     0     0 10742 25499 25 41 34  0  0
 2  0  20124 2608812  74948 810516    0    0     0     0 11732 29501 28 38 34  0  0
 3  0  20124 2603728  74948 810516    0    0     0    24 12039 30058 26 40 33  0  0
 2  0  20124 2598396  74948 810516    0    0     0     0 10931 26492 22 44 34  0  0
 2  0  20124 2593188  74948 810516    0    0     0     0 11787 28094 26 40 35  0  0
 3  0  20124 2588104  74948 810516    0    0     0     0 11657 29813 25 41 34  0  0
 3  0  20124 2582896  74948 810516    0    0     0     0 11135 29404 26 40 34  0  0
 3  0  20124 2577812  74956 810516    0    0     0    24 11638 28699 26 40 34  0  0
 3  0  20124 2572604  74956 810524    0    0     0     0 11712 28390 26 40 34  0  0
 3  0  20124 2567396  74956 810528    0    0     0     0 11123 29308 25 41 34  0  0
 3  0  20124 2562312  74956 810528    0    0     0     0 12406 31031 26 40 34  0  0
 3  0  20124 2557476  74956 810528    0    0     0     0 10537 27828 24 38 38  0  0
 2  0  20124 2552268  74956 810528    0    0     0    24 11388 28494 25 41 34  0  0
 3  0  20124 2547060  74956 810528    0    0     0     0 11564 30758 27 40 34  0  0
 2  0  20124 2541976  74956 810528    0    0     0     0 11304 28958 24 41 35  0  0
 3  0  20124 2536768  74956 810528    0    0     0     0 10805 27574 26 38 36  0  0
 3  0  20124 2531684  74956 810528    0    0     0     0 11435 26841 27 38 35  0  0
 2  0  20124 2521244  74964 813380    0    0     0    24 10028 28063 27 37 36  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 2511652  74964 820112    0    0     0 15676 9837 28260 41 41 13  5  0
 3  0  20124 2506512  74964 819924    0    0     0     0 10342 28309 27 40 34  0  0
 3  0  20124 2501676  74964 819924    0    0     0     0 11150 28202 26 40 34  0  0
 3  0  20124 2495972  74964 819924    0    0     0    16 11359 30362 28 39 33  0  0
 3  0  20124 2490888  74964 819924    0    0     0     0 12125 32518 26 40 34  0  0
 3  1  20124 2485680  74968 819920    0    0     0    72 11228 29649 27 39 33  0  0
 2  0  20124 2480472  74968 819924    0    0     0     0 10190 25886 27 40 33  1  0
 3  0  20124 2475264  74968 819924    0    0     0     0 10544 27812 27 40 33  0  0
 3  0  20124 2470056  74968 819924    0    0     0    60 10943 28746 26 40 34  0  0
 2  0  20124 2464848  74968 819924    0    0     0     0 10786 27765 25 41 34  0  0
 1  1  20124 2459640  74976 819916    0    0     0    48 10777 28563 26 41 33  0  0
 1  0  20124 2454424  74976 819932    0    0     0     0 10814 27566 27 40 33  0  0
 1  0  20124 2449372  74976 819932    0    0     0     0 11455 28099 28 38 34  0  0
 1  0  20124 2444288  74976 819932    0    0     0     0 10677 27421 23 43 34  0  0
 1  0  20124 2439080  74976 819932    0    0     0     0 11356 28845 25 41 34  0  0
 1  1  20124 2434120  74976 819932    0    0     0    24 11258 30275 26 41 34  0  0
 1  0  20124 2429036  74976 819932    0    0     0     0 10878 28978 25 41 33  0  0
 2  0  20124 2423952  74976 819936    0    0     0     0 11329 28830 26 41 33  0  0
 1  0  20124 2418868  74976 819936    0    0     0     0 10263 25559 28 38 34  0  0
 1  0  20124 2413784  74976 819936    0    0     0     0 10922 27029 22 44 34  0  0
 1  1  20124 2408700  74984 819928    0    0     0    24 10499 27440 28 39 33  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 2403864  74984 819936    0    0     0     0 10247 27187 26 39 35  0  0
 2  0  20124 2398904  74984 819936    0    0     0     0 10507 27218 26 41 34  0  0
 3  0  20124 2393820  74984 819936    0    0     0     0 11148 28108 26 39 34  0  0
 3  0  20124 2388736  74984 819936    0    0     0     0 10360 28496 26 40 34  0  0
 2  1  20124 2383776  74992 819932    0    0     0    24 10798 26213 25 41 34  0  0
 3  0  20124 2378692  74992 819940    0    0     0     0 11040 27544 28 39 33  0  0
 3  0  20124 2373732  74992 819940    0    0     0     0 11240 31412 25 42 33  0  0
 3  0  20124 2362324  74992 819940    0    0     0     0 12028 28604 25 38 37  0  0
 3  0  20124 2356124  74992 819940    0    0     0     0 11173 26716 26 38 36  0  0
 1  1  20124 2352156  74996 819936    0    0     0    24 8961 25862 22 33 44  0  0
 3  0  20124 2351048  74996 819908    0    0     0     0 9601 28634 26 35 39  0  0
 3  0  20124 2345988  74996 819908    0    0     0     0 10534 27594 25 40 35  0  0
 2  0  20124 2341888  74996 819916    0    0     0     4 10168 31637 25 37 38  0  0
 3  1  20124 2336928  74996 819924    0    0     0     0 11674 28775 28 38 34  0  0
 3  1  20124 2331844  75000 819920    0    0     0    24 10995 26915 27 40 33  0  0
 3  0  20124 2326636  75000 819924    0    0     0     0 11702 29799 25 41 34  0  0
 3  0  20124 2321676  75000 819924    0    0     0     0 11172 29219 25 41 34  0  0
 2  0  20124 2317212  75000 819924    0    0     0    16 9176 28075 22 38 41  0  0
 3  0  20124 2312004  75000 819924    0    0     0     0 10927 28049 27 39 34  0  0
 2  0  20124 2306920  75000 819924    0    0     0     0 10513 26123 24 43 33  0  0
 2  0  20124 2301960  75008 819924    0    0     0    40 11173 29848 25 42 32  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 2296876  75008 819924    0    0     0     0 11164 29551 24 43 34  0  0
 3  0  20124 2291544  75008 819928    0    0     0    20 11316 28417 25 41 34  0  0
 3  0  20124 2286708  75008 819928    0    0     0     0 11889 30572 25 41 34  0  0
 3  0  20124 2281748  75008 819928    0    0     0     0 10945 27264 25 41 34  0  0
 3  0  20124 2276540  75012 819928    0    0     0    48 10874 27227 24 42 32  1  0
 3  0  20124 2271580  75012 819928    0    0     0     0 11485 29320 26 40 34  0  0
 3  0  20124 2266496  75012 819928    0    0     0     0 11377 28750 26 40 34  0  0
 3  0  20124 2261536  75012 819928    0    0     0     0 11893 30840 26 40 34  0  0
 3  0  20124 2256576  75012 819928    0    0     0     0 11261 28967 26 41 33  0  0
